                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 0.4803,                 0.3743,                 1.0432,                0.97675,                0.99495,                0.98334,                0.88497,                 0.5406,                0.36844,                0.94321,              0.0001288,              0.0001288,              0.0001288
                     90,                0.45658,                 0.3683,                 1.0393,                 0.9756,                0.99495,                0.98344,                 0.8867,                   0.54,                0.37362,                0.94243,              0.0001189,              0.0001189,              0.0001189
                     91,                0.48492,                0.45368,                 1.1238,                0.97482,                0.99495,                0.98196,                0.88275,                0.52358,                 0.3783,                0.92523,               0.000109,               0.000109,               0.000109
                     92,                 0.4711,                0.36387,                 1.1144,                0.97353,                0.99495,                0.98284,                0.88129,                0.55728,                0.40399,                0.94137,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 0.4398,                0.35348,                 1.0939,                0.97267,                0.99495,                0.98294,                0.88483,                0.54446,                0.38368,                0.94264,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 0.4436,                 0.3199,                 1.0706,                 0.9746,                0.99495,                0.98101,                0.87839,                0.54718,                0.37918,                0.95388,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.43091,                0.31466,                 1.0743,                 0.9757,                0.99495,                0.98167,                0.88129,                0.53672,                 0.3798,                0.94397,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.46578,                0.32769,                 1.1182,                0.97586,                0.99495,                0.98112,                0.87599,                0.54403,                0.38188,                0.94858,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.43343,                0.31629,                 1.0781,                 0.9768,                0.99495,                0.98191,                0.88142,                0.54499,                0.37656,                0.94974,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.42034,                0.30308,                 1.0692,                0.97659,                0.99495,                0.98334,                0.88455,                0.53717,                0.36618,                0.94065,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.41783,                0.31087,                  1.093,                0.97645,                0.99495,                 0.9841,                0.88393,                0.53653,                 0.3678,                0.93982,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.42362,                0.30071,                 1.0502,                0.97588,                0.99495,                0.98486,                0.88655,                0.53957,                0.36817,                0.94149,               1.99e-05,               1.99e-05,               1.99e-05
